Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,Question Text
Algebra I,August '18,2,MC,S-ID,C,Interpreting Categorical and Quantitative Data,1,73.86%,10.80%,9.51%,5.67%,0.17%,https://docs.google.com/document/d/1gF465W8Pan4r7IH7frARhaINXVVFao_a8u_5Hhm0xGI/edit?usp=drivesdk,0.74,S-ID.C,"During physical education class, Andrew recorded the exercise times in minutes and heart rates in beats per minute (bpm) of four of his classmates. Which table best represents a linear model of exercise time and heart rate?"
Algebra I,August '18,21,MC,S-ID,C,Interpreting Categorical and Quantitative Data,3,23.78%,23.88%,40.38%,11.60%,0.36%,https://docs.google.com/document/d/1y7uVVaK890v6r7rZFTKw3pdsr4fUXpJVXdGymDTH5dQ/edit?usp=drivesdk,0.40,S-ID.C,"The data obtained from a random sample of track athletes showed that as the foot size of the athlete decreased, the average running speed decreased. Which statement is best supported by the data?"
Algebra I,Jan. '15,10,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,2,43.47%,34.77%,10.15%,11.16%,0.45%,https://docs.google.com/a/newvisions.org/document/d/1MDUC5RmKbWWgVeUDpYKNITLwPDj8XfG-v4JB5T0NA1A/edit?usp=drivesdk,0.35,A-APR.A,"Fred is given a rectangular piece of paper. If the length of Fred’s piece of paper is represented by 2x - 6 and the width is represented by 3x - 5, then the paper has a total area represented by"
Algebra I,Jan. '15,24,MC,A-APR,B,Arithmetic with Polynomials and Rational Expressions,1,9.02%,35.20%,42.39%,12.76%,0.63%,https://docs.google.com/a/newvisions.org/document/d/1ufWGr-1Hm1PELqcU-peaH-fV03I_0pjMZ6ljflT0RCA/edit?usp=drivesdk,0.09,A-APR.B,"A polynomial function contains the factors x, x - 2, and x + 5. Which graph(s) below could represent the graph of this function?"
Algebra I,Jan. '15,16,MC,A-CED,A,Creating Equations,1,33.24%,19.63%,26.95%,19.60%,0.58%,https://docs.google.com/a/newvisions.org/document/d/1Kd_UAUI4J1w3WH_tlCZI5iVTxTdwVxh_b22wsjgg-is/edit?usp=drivesdk,0.33,A-CED.A,"The equation for the volume of a cylinder is V = r2h. The positive value of r, in term of h and V, is"
Algebra I,Jan. '15,13,MC,A-CED,A,Creating Equations,3,16.09%,13.39%,54.32%,15.69%,0.50%,https://docs.google.com/a/newvisions.org/document/d/1lFve-Vyer4gc7PBN-hD-Su7nTURtqnyFhXGSeFZmTdo/edit?usp=drivesdk,0.54,A-CED.A,"Connor wants to attend the town carnival. The price of admission to the carnival is $4.50, and each ride costs an additional 79 cents. If he can spend at most $16.00 at the carnival, which inequality can be used to solve for r, the number of rides Connor can go on, and what is the maximum number of rides he can go on?"
Algebra I,Jan. '15,23,MC,A-CED,A,Creating Equations,4,21.61%,31.86%,27.83%,17.97%,0.73%,https://docs.google.com/a/newvisions.org/document/d/1mAwrW5yncW4Yvw5uzucbt8JYXFPJ-5aUvq6uo5GEDqw/edit?usp=drivesdk,0.18,A-CED.A,"In 2013, the United States Postal Service charged $0.46 to mail a letter weighing up to 1 oz. and $0.20 per ounce for each additional ounce. Which function would determine the cost, in dollars, c(z), of mailing a letter weighing z ounces where z is an integer greater than 1?"
Algebra I,Jan. '15,7,MC,A-REI,B,Reasoning with Equations and Inequalities,1,22.16%,25.72%,27.73%,23.49%,0.90%,https://docs.google.com/a/newvisions.org/document/d/12FM9TZGRxVnJbz3UA885s48tBXFUkQCsz2HDc5Xw5ZY/edit?usp=drivesdk,0.22,A-REI.B,The inequality 7 -23x < x - 8 is equivalent to
Algebra I,Jan. '15,18,MC,A-REI,D,Reasoning with Equations and Inequalities,3,21.53%,22.91%,34.37%,20.56%,0.63%,https://docs.google.com/a/newvisions.org/document/d/1cSEhEFofktcT5q86hXKIR-cQ2qu0yYOzLd9OVhji5as/edit?usp=drivesdk,0.34,A-REI.D,"Two functions, y = |x - 3| and 3x + 3y = 27, are graphed on the same set of axes. Which statement is true about the solution to the system of equations?"
Algebra I,Jan. '15,17,MC,A-REI,B,Reasoning with Equations and Inequalities,4,26.87%,20.48%,19.75%,32.24%,0.65%,https://docs.google.com/a/newvisions.org/document/d/1IjIHUMnLImdeoT0Jrusb09XyWhhin_6L7RIkkWt_29c/edit?usp=drivesdk,0.32,A-REI.B,Which equation has the same solutions as x2 + 6x - 7 = 0?
Algebra I,Jan. '15,11,MC,A-REI,D,Reasoning with Equations and Inequalities,4,18.12%,15.84%,26.07%,39.26%,0.70%,https://docs.google.com/a/newvisions.org/document/d/1pFpB7KQqZ5U-mHxUcQs0E-P0EmPdDRMe6YamwkXOQig/edit?usp=drivesdk,0.39,A-REI.D,"The graph of a linear equation contains the points (3,11) and (- 2,1). Which point also lies on the graph?"
Algebra I,Jan. '15,22,MC,A-SSE,A,Seeing Structure in Expressions,3,49.46%,16.19%,15.47%,18.38%,0.50%,https://docs.google.com/a/newvisions.org/document/d/16gwARlXk98teA3uHLittyCM04C5Am5CLTDajn1ZH0Bg/edit?usp=drivesdk,0.15,A-SSE.A,"When factored completely, the expression p4 - 81 is equivalent to"
Algebra I,Jan. '15,19,MC,A-SSE,B,Seeing Structure in Expressions,4,21.56%,14.49%,29.93%,33.39%,0.63%,https://docs.google.com/a/newvisions.org/document/d/1ipLRSwY15eB138zdqNdcB_wKpdQinmjCHZVtL_uMPU8/edit?usp=drivesdk,0.33,A-SSE.B,"Miriam and Jessica are growing bacteria in a laboratory. Miriam uses the growth function f(t) = n2t while Jessica uses the function g(t) = n4t, where n represents the initial number of bacteria and t is the time, in hours. If Miriam starts with 16 bacteria, how many bacteria should Jessica start with to achieve the same growth over time?"
Algebra I,Jan. '15,3,MC,A-SSE,B,Seeing Structure in Expressions,4,13.39%,36.68%,19.13%,30.26%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1rUhRvyBz1kyN-SWERMYORxAHFLHPYooAxhdKhh5qkSE/edit?usp=drivesdk,0.30,A-SSE.B,Which equation has the same solutions as 2x2 + x - 3 = 0?
Algebra I,Jan. '15,1,MC,A-SSE,A,Seeing Structure in Expressions,2,12.71%,74.33%,4.89%,7.85%,0.23%,https://docs.google.com/a/newvisions.org/document/d/1vW1BYFgTltg5ww3m89JGlQaQkF5SN_C4g9Cb1fnCNf0/edit?usp=drivesdk,0.74,A-SSE.A,"The owner of a small computer repair business has one employee, who is paid an hourly rate of $22. The owner estimates his weekly profit using the function P(x) = 8600 - 22x. In this function, x represents the number of"
Algebra I,Jan. '15,4,MC,F-BF,A,Building Functions,1,36.20%,7.04%,47.15%,9.25%,0.35%,https://docs.google.com/a/newvisions.org/document/d/1pUBX8yEYVVF7biKYOo8OilfHBhMCTvBD3Bo8FJEEemY/edit?usp=drivesdk,0.36,F-BF.A,Krystal was given $3000 when she turned 2 years old. Her parents invested it at a 2% interest rate compounded annually. No deposits or withdrawals were made. Which expression can be used to determine how much money Krystal had in the account when she turned 18?
Algebra I,Jan. '15,12,MC,F-BF,B,Building Functions,2,18.53%,37.25%,25.47%,17.85%,0.90%,https://docs.google.com/a/newvisions.org/document/d/1Q_zt6PKo-i7Tfo-enDlJeM15L3_WfTs_P5vWzMH_eGw/edit?usp=drivesdk,0.37,F-BF.B,How does the graph of f(x) = 3(x – 2)2 + 1 compare to the graph of g(x) = x2?
Algebra I,Jan. '15,20,MC,F-IF,A,Interpreting Functions,3,27.07%,22.56%,39.11%,9.98%,1.28%,https://docs.google.com/a/newvisions.org/document/d/1fVubOz7W61tGHtuEZ3TSeRYxP1uqYHEw5gFTLSofF-M/edit?usp=drivesdk,0.39,F-IF.A,"If a sequence is defined recursively by f(0) = 2 and f(n + 1) = -2f(n) + 3 for n  0, then f(2) is equal to"
Algebra I,Jan. '15,6,MC,F-IF,B,Interpreting Functions,2,19.63%,48.88%,10.03%,20.88%,0.58%,https://docs.google.com/a/newvisions.org/document/d/1NZ2_DyuM_pu8bGztEoy48YDHBD2tzWdvblezLUbzlLM/edit?usp=drivesdk,0.49,F-IF.B,Which domain would be the most appropriate set to use for a function that predicts the number of household online-devices in terms of the number of people in the household?
Algebra I,Jan. '15,15,MC,F-IF,B,Interpreting Functions,3,10.98%,30.51%,35.77%,22.36%,0.38%,https://docs.google.com/a/newvisions.org/document/d/1PH2Ixjgk-yMp2cchpMHHHsH0cl5kg2gnHTI_m2cV2Es/edit?usp=drivesdk,0.36,F-IF.B,"Some banks charge a fee on savings accounts that are left inactive for an extended period of time. The equation y = 5000(0.98)x represents the value, y, of one account that was left inactive for a period of x years."
Algebra I,Jan. '15,9,MC,F-IF,C,Interpreting Functions,4,16.65%,15.84%,20.68%,46.15%,0.68%,https://docs.google.com/a/newvisions.org/document/d/1Y3-GLYYuckYN6KEoqVgdjhVtAdzL1WzStOylyPIeR_M/edit?usp=drivesdk,0.46,F-IF.C,Which function has the same y-intercept as the graph below?
Algebra I,Jan. '15,8,MC,F-IF,A,Interpreting Functions,1,38.36%,12.21%,22.99%,25.87%,0.58%,https://docs.google.com/a/newvisions.org/document/d/1Y5QnOaXRqj7MV2T7LRWfzJ5TSeiiFTjYNdE97YJb6h8/edit?usp=drivesdk,0.38,F-IF.A,"The value in dollars, v(x), of a certain car after x years is represented by the equation v(x) = 25,000(0.86)x. To the nearest dollar, how much more is the car worth after 2 years than after 3 years?"
Algebra I,Jan. '15,21,MC,F-IF,B,Interpreting Functions,1,18.95%,28.28%,37.43%,14.39%,0.95%,https://docs.google.com/a/newvisions.org/document/d/1zn9fNOLvVEmVyuFI6Cw6INwqmAYlOUvevW3gozwu1-Y/edit?usp=drivesdk,0.19,F-IF.B,"An astronaut drops a rock off the edge of a cliff on the Moon. The distance, d(t), in meters, the rock travels after t seconds can be modeled by the function d(t) = 0.8t2. What is the average speed, in meters per second, of the rock between 5 and 10 seconds after it was dropped?"
Algebra I,Jan. '15,5,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,10.80%,23.44%,47.93%,17.47%,0.35%,https://docs.google.com/a/newvisions.org/document/d/1eTTODEoREbencyqiseIzKGulAyDD1UOUH4rRub7B_5I/edit?usp=drivesdk,0.48,F-LE.A,Which table of values represents a linear relationship?
Algebra I,Jan. '15,2,MC,N-Q,A,Quantities,2,41.46%,34.29%,13.96%,9.75%,0.53%,https://docs.google.com/a/newvisions.org/document/d/10XsEQn-DTAkXMyyi5NzYDPaWkSms_aRFQLiZa0JxRQw/edit?usp=drivesdk,0.34,N-Q.A,"Peyton is a sprinter who can run the 40-yard dash in 4.5 seconds. He converts his speed into miles per hour, as shown below. Which ratio is incorrectly written to convert his speed?"
Algebra I,Jan. '15,14,MC,S-ID,A,Interpreting Categorical and Quantitative Data,4,9.88%,26.60%,16.55%,46.65%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1ccDlBzQfhf1MuVrYsFHgChEO8mkI8dcHPlNv2S22JIA/edit?usp=drivesdk,0.47,S-ID.A,Corinne is planning a beach vacation in July and is analyzing the daily high temperatures for her potential destination. She would like to choose a destination with a high median temperature and a small interquartile range. She constructed box plots shown in the diagram below. Which destination has a median temperature above 80 degrees and the smallest interquartile range?
Algebra I,Jan. '17,6,MC,A-APR,B,Arithmetic with Polynomials and Rational Expressions,4,8.74%,11.41%,9.10%,70.41%,0.34%,https://docs.google.com/document/d/1CFsb4Dwo_nVCdWc2sQaRCIafRQyGZNkDMSPLI0Rgys0/edit?usp=sharing,0.70,A-APR.B,Which function has zeros of -4 and 2?
Algebra I,Jan. '17,7,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,4,12.63%,24.91%,16.69%,45.41%,0.36%,https://docs.google.com/document/d/1GdIabYC-tMjA6QPb1RmJ8wPl6vyxCJ-xYaZiHWH4zKA/edit?usp=sharing,0.45,A-APR.A,Which expression is equivalent to 2(3g - 4) - (8g + 3)?
Algebra I,Jan. '17,4,MC,A-CED,A,Creating Equations,3,11.54%,16.20%,58.53%,13.37%,0.36%,https://docs.google.com/document/d/1QcEpF2Rwur1-uhYGWPSr36CpgY874rIh2UJCDdtU5xs/edit?usp=sharing,0.59,A-CED.A,"Boyle’s Law involves the pressure and volume of gas in a container. It can be represented by the formula P1V1 = P2V2. When the formula is solved for P2, the result is"
Algebra I,Jan. '17,22,MC,A-REI,B,Reasoning with Equations and Inequalities,1,32.07%,30.00%,24.50%,13.03%,0.41%,https://docs.google.com/document/d/1Lb7SOqdJ3ZIaI-YtUnSmUy544LXoVO--Qy1zMrcMpko/edit?usp=sharing,0.32,A-REI.B,The method of completing the square was used to solve the equation 2x2 - 12x + 6 = 0. Which equation is a correct step when using this method?
Algebra I,Jan. '17,16,MC,A-REI,D,Reasoning with Equations and Inequalities,4,18.75%,22.97%,18.38%,39.52%,0.38%,https://docs.google.com/document/d/1sY31pcgLSktaomv4QhKgIe3_9s5R20cBiE0eM5n4yeM/edit?usp=sharing,0.40,A-REI.D,Which point is a solution to the system below?
Algebra I,Jan. '17,15,MC,A-REI,B,Reasoning with Equations and Inequalities,4,14.15%,24.15%,25.05%,36.38%,0.26%,https://docs.google.com/document/d/1ugpwrDQP_qKFTYE99z3fdrOVodJZyvkQH050ylr73iQ/edit?usp=sharing,0.36,A-REI.B,Which value of x is a solution to the equation 13 - 36x2 = -12
Algebra I,Jan. '17,2,MC,A-SSE,B,Seeing Structure in Expressions,3,13.43%,35.02%,42.46%,8.92%,0.16%,https://docs.google.com/document/d/1IAAE26q9K5VuvdGL-rRtMh8x4IqOt2W22q6pNtA1Rs8/edit?usp=sharing,0.42,A-SSE.B,What is the solution set of the equation (x - 2)(x - a) = 0?
Algebra I,Jan. '17,14,MC,A-SSE,B,Seeing Structure in Expressions,2,13.91%,39.55%,23.81%,22.37%,0.36%,https://docs.google.com/document/d/1incbUOQRJmWAjCe6fGXLp1E6AIcfhYyrI9Z2WrrxlgQ/edit?usp=sharing,0.40,A-SSE.B,"A computer application generates a sequence of musical notes using the function f(n) = 6(16)n, where n is the number of the note in the sequence and f(n) is the note frequency in hertz. Which function will generate the same note sequence as f(n)?"
Algebra I,Jan. '17,9,MC,A-SSE,A,Seeing Structure in Expressions,2,11.13%,36.44%,14.87%,37.42%,0.13%,https://docs.google.com/document/d/1obamhrivDiF4p_jFSp3RZWwH4CoGJAXBknLfzyMNxLE/edit?usp=sharing,0.36,A-SSE.A,"A car leaves Albany, NY, and travels west toward Buffalo, NY. The equation D = 280 - 59t can be used to represent the distance, D, from Buffalo after t hours. In this equation, the 59 represents the"
Algebra I,Jan. '17,1,MC,A-SSE,A,Seeing Structure in Expressions,2,8.44%,50.65%,29.46%,11.23%,0.23%,https://docs.google.com/document/d/1Wi4Paw6jwPXhJv1EzqSxkZDNiiT_DVRc4YWP5RhMUtE/edit?usp=sharing,0.51,A-SSE.A,Which expression is equivalent to 16x2 - 36?
Algebra I,Jan. '17,17,MC,F-BF,B,Building Functions,2,39.14%,37.21%,14.76%,8.62%,0.26%,https://docs.google.com/document/d/1p8c-7taOEtn5_a6nzE8yCyxxTinU2wMdp3BO1zzPGnQ/edit?usp=sharing,0.37,F-BF.B,"When the function f(x) = x2 is multiplied by the value a, where a > 1, the graph of the new function, g(x) = ax2"
Algebra I,Jan. '17,18,MC,F-BF,A,Building Functions,4,33.86%,10.85%,21.32%,33.79%,0.18%,https://docs.google.com/document/d/1YXRmxSvIAKdovVJDbhG_4Pw5vBpG78_NvznHXw7QVf4/edit?usp=sharing,0.34,F-BF.A,"Andy has $310 in his account. Each week, w, he withdraws $30 for his expenses. Which expression could be used if he wanted to find out how much money he had left after 8 weeks?"
Algebra I,Jan. '17,19,MC,F-IF,B,Interpreting Functions,4,18.00%,25.20%,21.81%,34.68%,0.31%,https://docs.google.com/document/d/18_Y2rX6P-blHc31Z4iZdAVj7CJ_B9CCwVNmX6S-M_do/edit?usp=sharing,0.35,F-IF.B,"The daily cost of production in a factory is calculated using c(x) = 200 + 16x, where x is the number of complete products manufactured. Which set of numbers best defines the domain of c(x)?"
Algebra I,Jan. '17,23,MC,F-IF,C,Interpreting Functions,2,29.26%,22.55%,26.25%,21.71%,0.23%,https://docs.google.com/document/d/1a6cKe-WbWkUqJMaT_Pso3zo_Di2ls7HMfn-21UfzWhU/edit?usp=sharing,0.23,F-IF.C,"Nancy works for a company that offers two types of savings plans. Plan A is represented on the graph below. Plan B is represented by the function f(x) = 0.01 + 0.05x2, where x is the number of weeks. Nancy wants to have the highest savings possible after a year. Nancy picks Plan B. Her decision is"
Algebra I,Jan. '17,8,MC,F-IF,A,Interpreting Functions,1,48.50%,18.65%,20.31%,12.14%,0.39%,https://docs.google.com/document/d/1b6EllMh4bCnlBYUE3Fv0fVoyOXGrsu2b1-HglnCacPs/edit?usp=sharing,0.49,F-IF.A,"In 2014, the cost to mail a letter was 49¢ for up to one ounce. Every additional ounce cost 21¢. Which recursive function could be used to determine the cost of a 3-ounce letter, in cents?"
Algebra I,Jan. '17,21,MC,F-IF,B,Interpreting Functions,1,50.06%,17.36%,14.66%,17.69%,0.23%,https://docs.google.com/document/d/1oS1EyHV23NmY0EAwo7bpIpjyTs2AWSIa-yiQKADLzIc/edit?usp=sharing,0.50,F-IF.B,"A graph of average resting heart rates is shown below. The average resting heart rate for adults is 72 beats per minute, but doctors consider resting rates from 60-100 beats per minute within normal range.Which statement about average resting heart rates is not supported by the graph?"
Algebra I,Jan. '17,12,MC,F-IF,C,Interpreting Functions,1,42.71%,17.79%,16.51%,22.68%,0.31%,https://docs.google.com/document/d/1YQJghrm7PhQ_1CAafEt4zjJmlS1Mpn5J4QHYIgFjZ8A/edit?usp=sharing,0.43,F-IF.C,What is the minimum value of the function y = |x + 3| - 2?
Algebra I,Jan. '17,10,MC,F-IF,A,Interpreting Functions,1,42.19%,25.00%,16.92%,15.58%,0.31%,https://docs.google.com/document/d/1zgc5k-HUxB1CyDllN4jGORIaUMdsE6jKhSubzlY5LCI/edit?usp=sharing,0.42,F-IF.A,"Faith wants to use the formula C(f) = 59(f - 32) to convert degrees Fahrenheit, f, to degrees Celsius, C(f). If Faith calculated C(68), what would her result be?"
Algebra I,Jan. '17,11,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,18.51%,18.13%,43.69%,19.44%,0.23%,https://docs.google.com/document/d/1-Z8IBRnZMNe3YkEmAVyvoWsuUIxmR-WFZuE64u1wSWE/edit?usp=sharing,0.44,F-LE.A,Which scenario represents exponential growth?
Algebra I,Jan. '17,24,MC,F-LE,B,"Linear, Quadratic, and Exponential Models",3,22.22%,17.20%,44.82%,15.30%,0.46%,https://docs.google.com/document/d/17bUkygFsOuBuIVUzD7YqxsFVbPgBY17eorCXLoq57JE/edit?usp=sharing,0.45,F-LE.B,"The 2014 winner of the Boston Marathon runs as many as 120 miles per week. During the last few weeks of his training for an event, his mileage can be modeled by M(w) = 120(.90)w - 1, where w represents the number of weeks since training began. Which statement is true about the model M(w)?"
Algebra I,Jan. '17,20,MC,S-ID,A,Interpreting Categorical and Quantitative Data,4,7.71%,17.67%,22.57%,51.66%,0.39%,https://docs.google.com/document/d/16dRNFtIuAAyekLBhGDNJS7_xq-vIwKdkacxrjLz3hZw/edit?usp=sharing,0.52,S-ID.A,"Noah conducted a survey on sports participation. He created the following two dot plots to represent the number of students participating, by age, in soccer and basketball.Which statement about the given data sets is correct?"
Algebra I,Jan. '17,5,MC,S-ID,B,Interpreting Categorical and Quantitative Data,2,41.42%,40.66%,11.80%,5.89%,0.23%,https://docs.google.com/document/d/1efNKUQqgpTF_bTo_Zs0TEjW0khR4fu3v_BWXO-P1XDY/edit?usp=sharing,0.41,S-ID.B,"A radio station did a survey to determine what kind of music to play by taking a sample of middle school, high school, and college students. They were asked which of three different types of music they prefer on the radio: hip-hop, alternative, or classic rock. The results are summarized in the table below.What percentage of college students prefer classic rock?"
Algebra I,Jan. '17,13,MC,S-ID,C,Interpreting Categorical and Quantitative Data,2,23.06%,40.42%,16.17%,20.13%,0.23%,https://docs.google.com/document/d/1fyZhoARh7r-QcKB3-0v7v7KcmSsSiAgBifdhvXDw-Jg/edit?usp=sharing,0.40,S-ID.C,What type of relationship exists between the number of pages printed on a printer and the amount of ink used by that printer?
Algebra I,Jan. '17,3,MC,S-ID,C,Interpreting Categorical and Quantitative Data,4,7.15%,35.44%,10.87%,46.38%,0.16%,https://docs.google.com/document/d/1NJpwrAQJKgHJtu2z7IGVdg210KMVLZB_JetlTNsx0_k/edit?usp=sharing,0.46,S-ID.C,Analysis of data from a statistical study shows a linear relationship in the data with a correlation coefficient of -0.524. Which statement best summarizes this result?
Algebra I,January '16,10,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,3,18.37%,34.88%,31.92%,14.46%,0.37%,https://docs.google.com/a/newvisions.org/document/d/1wZPKrogL40DDvPFHeVhOKHK6jYAOAsRZd6Ptx3Jvgyk/edit?usp=drivesdk,0.32,A-APR.A,"When (2x - 3)2 is subtracted from 5x2, the result is"
Algebra I,January '16,6,MC,A-CED,A,Creating Equations,3,18.53%,17.56%,41.41%,22.11%,0.39%,https://docs.google.com/a/newvisions.org/document/d/1A8u1wRuwndZJZvD4-zwY08AsAJK13gLN0HhlSZus8Ug/edit?usp=drivesdk,0.41,A-CED.A,"Michael borrows money from his uncle, who is charging him simple interest using the formula I = Prt. To figure out what the interest rate, r, is, Michael rearranges the formula to find r. His new formula is r equals"
Algebra I,January '16,11,MC,A-CED,A,Creating Equations,2,38.80%,37.14%,12.51%,10.99%,0.56%,https://docs.google.com/a/newvisions.org/document/d/1Zwsfh6AL3Jn90f1SVzVGuaV3OAvBQpsFAfmk5q3gRE0/edit?usp=drivesdk,0.37,A-CED.A,"Joe has a rectangular patio that measures 10 feet by 12 feet. He wants to increase the area by 50% and plans to increase each dimension by equal lengths, x. Which equation could be used to determine x?"
Algebra I,January '16,14,MC,A-REI,B,Reasoning with Equations and Inequalities,2,31.99%,35.04%,22.15%,10.28%,0.54%,https://docs.google.com/a/newvisions.org/document/d/1BwIAhM8oQsZgRd82ykdiX-K5ElFZalzvzKLGBpiKQic/edit?usp=drivesdk,0.35,A-REI.B,"When solving the equation x2 - 8x - 7 = 0 by completing the square, which equation is a step in the process?"
Algebra I,January '16,21,MC,A-REI,C,Reasoning with Equations and Inequalities,4,18.51%,18.59%,30.85%,31.62%,0.43%,https://docs.google.com/a/newvisions.org/document/d/1DcQ0VYcrA5DIWaajVklWSmuMVvf7tLE84BPyKXoQmQs/edit?usp=drivesdk,0.32,A-REI.C,Which pair of equations could not be used to solve the following equations for x and y?
Algebra I,January '16,5,MC,A-REI,D,Reasoning with Equations and Inequalities,2,30.71%,44.19%,13.61%,11.25%,0.24%,https://docs.google.com/a/newvisions.org/document/d/1gNK8LgSyyIO2VxoYaM9mawKYRbAPKR2indBiZUz0xaQ/edit?usp=drivesdk,0.44,A-REI.D,Which inequality is represented by the graph below?
Algebra I,January '16,17,MC,A-REI,D,Reasoning with Equations and Inequalities,1,37.66%,20.56%,24.59%,16.96%,0.24%,https://docs.google.com/a/newvisions.org/document/d/1l9ooKt-rzOuG3ARzqAgK_I9c7C6RwjMUYoBe40oG198/edit?usp=drivesdk,0.38,A-REI.D,"Given the functions h(x) = 12x + 3 and j(x) = |x|, which value of x makes h(x) = j(x)?"
Algebra I,January '16,7,MC,A-REI,B,Reasoning with Equations and Inequalities,4,22.56%,18.17%,26.99%,31.72%,0.56%,https://docs.google.com/a/newvisions.org/document/d/1MZoIYHTFLYAKcoUu6iQ4hAlffadjdMVHdG9z2mm4160/edit?usp=drivesdk,0.32,A-REI.B,Which equation is equivalent to y - 34 = x(x - 12)?
Algebra I,January '16,1,MC,A-SSE,B,Seeing Structure in Expressions,2,14.40%,50.30%,16.41%,18.66%,0.24%,https://docs.google.com/a/newvisions.org/document/d/100lSUTBzaCPS0v9egWTMFkV6KPkFDg0Ct7KWTjzqKXM/edit?usp=drivesdk,0.50,A-SSE.B,"In the function f (x) = (x - 2)2 + 4, the minimum value occurs when x is"
Algebra I,January '16,8,MC,A-SSE,A,Seeing Structure in Expressions,4,7.20%,41.86%,8.29%,42.48%,0.17%,https://docs.google.com/a/newvisions.org/document/d/12xl0jWpPRmIdXUg5HVFZlkkN2dbB2gxe4tbUw5Scy6Q/edit?usp=drivesdk,0.42,A-SSE.A,The equation A = 1300(1.02)7 is being used to calculate the amount of money in a savings account. What does 1.02 represent in this equation?
Algebra I,January '16,9,MC,A-SSE,B,Seeing Structure in Expressions,1,49.13%,15.09%,23.52%,12.10%,0.16%,https://docs.google.com/a/newvisions.org/document/d/1FCfKIbbcwZdw6ukyMEjwptxv4QsrPmsrkh29TeYAUTQ/edit?usp=drivesdk,0.49,A-SSE.B,The zeros of the function f(x) = 2x2 - 4x - 6 are
Algebra I,January '16,12,MC,A-SSE,A,Seeing Structure in Expressions,3,18.25%,20.16%,44.52%,16.79%,0.28%,https://docs.google.com/a/newvisions.org/document/d/1LVaVgbdlWi_WU_ucA1IFR-7kl_LKNROwzqp6cEt5dQ4/edit?usp=drivesdk,0.45,A-SSE.A,"When factored completely, x3 - 13x2 - 30x is"
Algebra I,January '16,20,MC,F-BF,B,Building Functions,1,49.07%,14.18%,26.82%,9.66%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1kHnMfEFWphQSmmRgFFLCuRtP0QtJDjEU9GENYRzPbGM/edit?usp=drivesdk,0.49,F-BF.B,The graph of y = f(x) is shown below.What is the graph of y = f(x + 1) - 2?
Algebra I,January '16,3,MC,F-IF,A,Interpreting Functions,3,13.58%,22.59%,53.21%,10.06%,0.56%,https://docs.google.com/a/newvisions.org/document/d/1_DiGvcLLcWmYZSPIKSdLknbFuujZ94JvC7xy8sPxudc/edit?usp=drivesdk,0.53,F-IF.A,"For a recently released movie, the function y = 119.67(0.61)x models the revenue earned, y, in millions of dollars each week, x, for several weeks after its release.Based on the equation, how much more money, in millions of dollars, was earned in revenue for week 3 than for week 5?"
Algebra I,January '16,22,MC,F-IF,C,Interpreting Functions,3,32.06%,19.22%,35.75%,12.70%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1A5I_MVEG4Pj4KHaXfREAxw3s3bUaOGv7VHrHIj3C660/edit?usp=drivesdk,0.36,F-IF.C,The graph representing a function is shown below.Which function has a minimum that is less than the one shown in the graph?
Algebra I,January '16,18,MC,F-IF,A,Interpreting Functions,3,25.29%,19.93%,40.75%,13.68%,0.35%,https://docs.google.com/a/newvisions.org/document/d/1CUAYnbZnI2KiyvTfhD0MV8vZeDJSTC1TgvAci1-BIwE/edit?usp=drivesdk,0.41,F-IF.A,"Which recursively defined function represents the sequence 3, 7, 15, 31, ...?"
Algebra I,January '16,19,MC,F-IF,A,Interpreting Functions,2,15.03%,29.77%,25.47%,29.39%,0.34%,https://docs.google.com/a/newvisions.org/document/d/1fu-gHPJaNOUR8ii-wXI6-5N2nCa19uK23X7Ly8ZtIZA/edit?usp=drivesdk,0.30,F-IF.A,The range of the function defined as y = 5x is
Algebra I,January '16,13,MC,F-IF,B,Interpreting Functions,4,7.57%,7.19%,11.90%,73.18%,0.15%,https://docs.google.com/a/newvisions.org/document/d/1IOMc8u7HW_ZVu2Vb_cDDBOqAjarcFeHxKRvayXGvkck/edit?usp=drivesdk,0.73,F-IF.B,The table below shows the cost of mailing a postcard in different years. During which time interval did the cost increase at the greatest average rate?
Algebra I,January '16,15,MC,F-IF,B,Interpreting Functions,1,21.98%,37.06%,22.54%,18.27%,0.15%,https://docs.google.com/a/newvisions.org/document/d/1T4LdMJGpRCrtwH3qZ6x0_1kgweQynhJFxmm0mzMiURk/edit?usp=drivesdk,0.22,F-IF.B,"A construction company uses the function f(p), where p is the number of people working on a project, to model the amount of money it spends to complete a project. A reasonable domain for this function would be"
